DATE,all_time_change
2016/7/5 17:00,3.25
2016/7/6 17:00,2.14
2016/7/7 17:00,2.34
2016/7/8 17:00,1.79
2016/7/9 17:00,2.03
2016/7/10 17:00,0.23
2016/7/11 17:00,-0.67
2016/7/12 17:00,-1.05
2016/7/13 17:00,-1.74
2016/7/14 17:00,-1.82
2016/7/15 17:00,-1.56
2016/7/16 17:00,-2.31
2016/7/17 17:00,-2.95
2016/7/18 17:00,-1.19
2016/7/19 17:00,-1
2016/7/20 17:00,-0.8
2016/7/21 17:00,0.28
2016/7/22 17:00,-0.58
2016/7/23 17:00,-0.5
2016/7/24 17:00,0.6
2016/7/25 17:00,0.39
2016/7/26 17:00,-0.28
2016/7/27 17:00,0.11
2016/7/28 17:00,0.33
2016/7/29 17:00,1.97
2016/7/30 17:00,1.85
2016/7/31 17:00,1.87
2016/8/1 17:00,1.83
2016/8/2 17:00,1.79
2016/8/3 17:00,1.64
2016/8/4 17:00,1.37
2016/8/5 17:00,0.64
2016/8/6 17:00,0.77
2016/8/7 17:00,1.49
2016/8/8 17:00,1.07
2016/8/9 17:00,1.28
2016/8/10 17:00,2.03
2016/8/11 17:00,0.67
2016/8/12 17:00,0.62
2016/8/13 17:00,-0.27
2016/8/14 17:00,-0.25
2016/8/15 17:00,0.02
2016/8/16 17:00,-0.34
2016/8/17 17:00,-0.5
2016/8/18 17:00,-0.66
2016/8/19 17:00,-0.31
2016/8/20 17:00,-0.05
2016/8/21 17:00,0.68
2016/8/22 17:00,0.16
2016/8/23 17:00,0.64
2016/8/24 17:00,0.66
2016/8/25 17:00,2.31
2016/8/26 17:00,2.59
2016/8/27 17:00,2.38
2016/8/28 17:00,2.48
2016/8/29 17:00,1.11
2016/8/30 17:00,0.74
2016/8/31 17:00,1.4
2016/9/1 17:00,1.22
2016/9/2 17:00,0.47
2016/9/3 17:00,0.2
2016/9/4 17:00,0.4
2016/9/5 17:00,0.29
2016/9/6 17:00,0.62
2016/9/7 17:00,-0.36
2016/9/8 17:00,-0.61
2016/9/9 17:00,-0.94
2016/9/10 17:00,-0.81
2016/9/12 17:00,-1.08
2016/9/13 17:00,-0.94
2016/9/14 17:00,-1.33
2016/9/16 17:00,-1.5
2016/9/18 17:00,-1.83
2016/9/19 17:00,-1.95
2016/9/21 17:00,-1.85
2016/9/22 17:00,-1.18
2016/9/23 17:00,-1.21
2016/9/24 17:00,-1.19
2016/9/25 17:00,-1.41
2016/9/26 17:00,-1.43
2016/9/27 17:00,-1.52
2016/9/28 17:00,-1.39
2016/9/29 17:00,-1.59
2016/9/30 17:00,-1.36
2016/10/1 17:00,-1.59
2016/10/2 17:00,-1.72
2016/10/3 17:00,-2.06
2016/10/4 17:00,-1.92
2016/10/5 17:00,-2.02
2016/10/6 17:00,-2.06
2016/10/7 17:00,-1.7
2016/10/8 17:00,-2.06
2016/10/9 17:00,-2.22
2016/10/10 17:00,-2.62
2016/10/11 17:00,-3.16
2016/10/12 17:00,-3.85
2016/10/13 17:00,-3.54
2016/10/14 17:00,-3.8
2016/10/15 17:00,-4.07
2016/10/16 17:00,-4.24
2016/10/17 17:00,-4.63
2016/10/18 17:00,-4.76
2016/10/19 17:00,-5.03
2016/10/20 17:00,-5
2016/10/21 17:00,-4.65
2016/10/22 17:00,-4.12
2016/10/23 17:00,-4.21
2016/10/24 17:00,-4.53
2016/10/25 17:00,-4
2016/10/26 17:00,-3.14
2016/10/27 17:00,-2.62
2016/10/28 17:00,-2.4
2016/10/29 17:00,-2.75
2016/10/30 17:00,-2.32
2016/10/31 17:00,-1.9
2016/11/1 17:00,-2.24
2016/11/2 17:00,-2.47
2016/11/3 17:00,-2.54
2016/11/4 17:00,-2.84
2016/11/5 17:00,-2.79
